grado	Quiz_Name	Class	Key	Question_Number	Primary_Answer	# Correct	% Correct	Discriminant Factor	Response 1	Response 1 %	Response 2	Response 2 %	Response 3	Response 3 %	Response 4	Response 4 %		Grado	Pregunta	Asignatura	Texto de la Pregunta	Opción A	Opción B	Opción C	Opción D
5	EVALUÁNDONOS 5 FINAL 2025	5-01, 5PJ, 5PU, 5S, 5Y	Primary Key 	88	B	47	65.28	0.235	B	65.28	A	19.44	C	8.33	D	5.56		10		Biología	Una mutación es el cambio de uno o varios nucleótidos del ADN de un individuo.	Cambió el número de cromosomas.	Hubo formación de células haploides.	No ocurrió síntesis de proteínas.	Se sintetizó una proteína diferente a la esperada.
5	EVALUÁNDONOS 5 FINAL 2025	5-01, 5PJ, 5PU, 5S, 5Y	Primary Key 	89	B	41	56.94	0.323	B	56.94	C	18.06	A	16.67	D	8.33		10		Biología	Las células eucariotas realizan tres procesos fundamentales para su mantenimiento y reproducción: la replicación, la transcripción y la traducción. En un experimento con animales se modifica una de las moléculas que intervienen en estos procesos.	ADN	ARN	ATP	Proteína
5	EVALUÁNDONOS 5 FINAL 2025	5-01, 5PJ, 5PU, 5S, 5Y	Primary Key 	90	A	45	62.5	0.346	A	62.5	B	22.22	C	9.72	D	5.56		10		Biología	Las proteínas son sustancias utilizadas para la regeneración de los tejidos.	Las vacuolas	El aparato de Golgi	Los ribosomas	Los lisosomas
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	1	B	40	58.82	0.482	B	58.82	A	19.12	C	11.76	D	10.29		11		QUIMICA 	      Es considerado como todo aquello que tiene masa y ocupa un lugar en el espacio. Básicamente, es aquello de lo que está hecho todo el universo físico: desde las estrellas hasta un granito de arena o si se quiere ser más específico hasta un átomo que es considerada la partícula más pequeña que existe en nuestro universo.	Energía	Materia	Respuesta A y B son incorrectas	 Respuestas A y C con correctas
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	2	D	16	23.53	0.071	B	42.65	D	23.53	A	19.12	C	14.71		11		QUIMICA 	     Se define fundamentalmente como la capacidad de un sistema o cuerpo para realizar un trabajo. No es una sustancia material, sino una propiedad que permite producir cambios en la materia, como el movimiento, la variación de temperatura o la emisión de luz.	Materia 	Energia 	Luz	Respuestas A y C son correctas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	3	C	22	32.35	-0.016	C	32.35	A	25	D	25	B	17.65		11		QUIMICA 	     Son considerados como las distintas formas físicas en que se presenta la materia, definidas por la fuerza de unión entre sus partículas. Las principales formas son: solido (se caracteriza por tener forma y volumen fijo), liquido ( se caracteriza por tener un  volumen fijo y forma variable), gaseoso (se caracteriza por tener una forma y volumen variable) y finalmente el plasma ( se caracteriza por ser un gas ionizado a alta temperatura).	  Los tres estados de agregación de la materia 	 Los cuatro estados de agregación de la materia	 Los tres cambios que puede tener la materia	 La respuesta A y C son correctas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	4	A	15	22.06	-0.07	C	66.18	A	22.06	B	5.88	D	5.88		11		QUIMICA 	    Es considera según la teoría actual.  Los electrones de un átomo se organizan alrededor del núcleo en órbitas o niveles, los cuales corresponden a regiones de espacio en las que existe una alta probabilidad de hallar o encontrar un electrón. Cada nivel se puede subdividir en subniveles. A la representación de la forma cómo se distribuyen los electrones en los distintos subniveles de energía se llama ----------------   --------------    -----   -------   -------------. De esta distribución depende gran parte de las propiedades físicas y todas las propiedades químicas del átomo.	Configuración electrónica de un átomo	   Formación eléctrica de un catión 	 Configuración eléctrica de un elemento 	 Respuestas A Y C son incorrectas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	5	C	14	20.59	-0.124	A	32.35	B	26.47	C	20.59	D	19.12		11		QUIMICA 		A.    S(2e-), P(5e-), D (10e-), T(14e-)	A.    S(2e-), P(6e-), B(10e-), F(14e-)	A.    S(2e-), P(5e-), D(10e-), F(14e-)	S(2e-), P(6e-), D(10e-), F(14e-)
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	6	D	7	10.29	-0.223	C	44.12	A	39.71	D	10.29	B	5.88		11		QUIMICA 					Respuestas A y C son incorrectas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	7	D	22	32.35	0.343	B	35.29	D	32.35	C	17.65	A	13.24		11		QUIMICA 	Hace referencia a que la mayoría de los elementos tienden a alcanzar un grado alto de estabilidad, lo cual, en términos químicos significa que no reaccionan químicamente. En términos de distribución de electrones, en un átomo no pueden existir más de ocho electrones en el nivel más externo.	   Principio de exclusión de Pauli	 Regla de Hund	Respuesta A y B son correctas	   Ley del octeto
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	8	B	9	13.24	-0.103	C	64.71	D	14.71	B	13.24	A	7.35		11		QUIMICA 	  Es considerado como  es el proceso de igualar la cantidad de átomos de cada elemento tanto en los reactivos (sustancias iniciales) como en los productos (sustancias finales) de una reacción. Este procedimiento es fundamental porque permite cumplir con la Ley de Conservación de la Masa, propuesta por Antoine Lavoisier, la cual establece que la materia no se crea ni se destruye, solo se transforma. Por lo tanto, Dicho proceso asegura que la masa total de los reactivos sea exactamente igual a la masa total de los productos.	 Configuración electrónica 	Enlaces covalentes 	 Balanceo de ecuaciones químicas 	 Respuestas A y B son correctas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	9	C	5	7.35	-0.02	D	76.47	B	10.29	C	7.35	A	4.41		11		QUIMICA 	    Lee con mucha atención “ cuando un trozo de papel se pone en contacto con una llama, arde, sale humo y el papel se transforma en cenizas que tiene una composición distinta al papel”	 Cambios y físicos y químicos de la materia 	Cambios físicos de la materia	 Cambios químicos de la materia	  Todas las respuestas son correctas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	10	C	9	13.24	-0.093	B	69.12	C	13.24	A	13.24	D	4.41		11		QUIMICA 	Un estudiante realiza un experimento para verificar la Ley de la Conservación de la Materia. En un frasco de vidrio, coloca una pastilla efervescente y una cantidad de agua, registra la masa inicial y luego cierra el frasco herméticamente. Al terminar la reacción, observa que se formaron burbujas y que la pastilla desapareció, pero el sistema se mantuvo sellado	La masa disminuye porque el sólido se transformó en un gas que no tiene masa	La masa aumenta debido a que la formación de burbujas genera una presión adicional en el recipiente.	 La masa permanece constante porque, aunque hubo un cambio de estado, la cantidad de átomos se mantiene igual dentro del frasco.	La masa disminuye ligeramente porque la energía liberada en la efervescencia consume parte de la materia.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	11	C	18	26.47	-0.158	A	39.71	C	26.47	B	22.06	D	11.76		11		BIOLOGIA	Refiere a una totalidad compuesta por los organismos vivos o elementos bióticos, que conforman el conjunto denominado “biocenosis”, y el medio físico o elementos abióticos, que po­sibilitan tanto la vida como las relaciones entre organismos vivos, y que constituyen el componente denominado “biotopo”. Algunos ecosistemas pueden ser muy grandes como las selvas, o muy pequeños como un estuario	Biocenosis	  Biotopo  	Ecosistema	Respuestas B y C son correctas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	12	B	25	36.76	0.043	B	36.76	C	27.94	D	25	A	10.29		11		BIOLOGIA	 Se consideran como factores abióticos o medio físico está formado por todo lo que influye sobre los seres vivos, estos son el suelo, el clima, el agua, la luz, temperatura, los nutrientes. Son un conjunto de elementos como luz, materia, nutrientes y otros factores físicos como la tem­peratura, la humedad, el viento y el espacio disponible. Son esenciales ya que posibilitan la vida y el desarrollo de los seres vivos.	   Biotopo 	Biocenosis	Comunidad	 Ninguna de las respuestas es correctas
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	13	C	12	17.65	-0.087	A	58.82	C	17.65	B	14.71	D	8.82		11		BIOLOGIA	Se refiere a son todos los organismos vivos de un ecosistema. La flora (los organismos vegetales como hierbas, arbustos y árboles) y la fauna (todos los animales vertebrados e inverte­brados) forman parte de este componente. Adicionalmente encontramos otros seres vivos como hongos, protozoos y bacterias.	Biotopo	Biocenosis	Especies	 Respuesta A y C son correctas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	14	D	15	22.06	-0.043	C	60.29	D	22.06	B	11.76	A	5.88		11		BIOLOGIA	 Se considera como representaciones gráficas que muestran con flechas como se generan los flujos materia y energía entre los niveles tróficos. Indican mediante flechas quién suministra la energía y quién la consume: parten de quien es consumido y apuntan hacia el organismo que consume. 	  Redes tróficas 	Depredación	Canibalismo	Respuestas A y C son incorrectas
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	15	D	1	1.47	-0.085	A	83.82	B	11.76	C	2.94	D	1.47		11		BIOLOGIA	Se considera que brinda energía a todos los organismos presentes en el ecosistema y es la principal fuente de calor sobre la Tierra. Es de vital importancia, pues por un lado las plantas necesitan de la energía solar para transformar el dióxido de carbono que toman del ambiente y otras sustancias in­orgánicas que absorben del suelo en las sustancias orgánicas que necesitan para vivir y el oxígeno que expulsan hacia su entorno; así que la luz solar está relacionada con la fabricación de oxígeno. Por otro lado, la cantidad de radiación infrarroja que emite el Sol permite que existan las  condiciones ideales de temperatura sobre la Tierra, permitiendo, entre otras cosas, la presencia de agua líquida. 	Suelo	Atmosfera	  Luz solar	Radiación
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	16	D	2	2.94	-0.147	A	80.88	C	14.71	D	2.94	B	1.47		11		BIOLOGIA	  Se considera como la capa de gases que rodea a la Tierra gracias a la cual es posible la vida ya que funciona como una cobertura que protege la superficie del planeta de las radiaciones electro­magnéticas del Sol como rayos ultravioleta; sin la atmósfera, los compuestos orgánicos no podrían haberse formado debido a esa radiación.	Biosfera	Atmosfera 	Capa terrestre  	Las respuestas A y B son correctas
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	17	A	11	16.18	-0.029	D	57.35	A	16.18	C	14.71	B	11.76		11		BIOLOGIA	Es considerado como el líquido vital, y como tal es indispensable para la subsistencia de todas las formas de vida. Constituye el 80% del cuerpo de la mayoría de organismos y posibilita el funcionamiento de los seres vivos ya que interviene en una gran variedad de procesos metabólicos y tiene un papel funda­mental en la fotosíntesis de las plantas. Al cubrir una gran parte de la superficie de nuestro planeta, es el hábitat de muchas especies vegetales y animales, mientras que los ríos, lagos, lagunas, humedales y acuíferos subterráneos son las fuentes de agua de las que se benefician los seres vivos terrestres.	Suelo 	Aire	Agua 	Todas las respuestas son incorrectas 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	18	D	48	70.59	0.349	D	70.59	A	13.24	C	10.29	B	5.88		11		BIOLOGIA	Se considera un grupo heterogéneo de compuestos orgánicos (grasas, aceites, ceras, esteroides) insolubles en agua y solubles en disolventes orgánicos. Compuestos principalmente por carbono, hidrógeno y oxígeno, son fundamentales para la vida, actuando como la principal reserva energética, estructura celular (membranas), aislamiento térmico y regulación hormonal.	Fosfolipidos 	Grupos funcionales 	Respuestas A y B son correctas	Lìpidos 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	19	B	15	22.06	0.04	C	42.65	B	22.06	A	22.06	D	13.24		11		BIOLOGIA		 Aumentar la densidad del animal para que pueda hundirse más rápido	Facilitar la absorcion de de luz solar para calentar la sangre	Permitir el intercambio de gases directamente a travez de la piel	Actuar como un aislante termico que evita la perdida de calor corporal
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	20	C	20	29.41	-0.192	B	32.35	C	29.41	D	26.47	A	11.76		11		BIOLOGIA		Las grasas tienen ácidos grasos saturados (enlaces sencillos), lo que permite que sus moléculas se empaqueten estrechamente; mientras que los aceites tienen ácidos grasos insaturados (dobles enlaces) que impiden este empaquetamiento.	    Las grasas poseen una densidad mucho menor que el agua, lo que las endurece, mientras que los aceites son más densos y por eso fluyen.	 Los aceites están compuestos por proteínas líquidas que se disuelven en agua, mientras que las grasas están compuestas por carbohidratos sólidos.	Los aceites son moléculas polares que atraen al agua del ambiente, mientras que las grasas son apolares y repelen cualquier tipo de humedad.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	21	A	22	32.35	0.143	C	38.24	A	32.35	B	29.41				6	21	C Ciudadanas	El texto sugiere que la Ley Ángel representa un cambio de "paradigma". Según la lectura, este cambio consiste principalmente en: 	Reconocer que los animales tienen las mismas obligaciones legales y deberes ciudadanos que los seres humanos adultos.	Pasar de una visión donde el animal es un objeto a una donde es un ser sintiente sujeto de protección y respeto ético. 	Priorizar la construcción de cárceles para maltratadores por encima de la construcción de escuelas o parques para niños.	Establecer que el amor por los animales es más importante que el respeto entre los propios seres humanos en la sociedad. 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	22	D	40	58.82	0.493	D	58.82	C	22.06	B	11.76	A	7.35		6	22	C Ciudadanas	Cuando el autor afirma que "la paz no es solo el silencio de los fusiles", está proponiendo una definición de paz que incluye: 	La ausencia total de cualquier tipo de conflicto o discusión entre las personas en el colegio o la casa.	El desarme exclusivo de los grupos que actúan fuera de la ley en las zonas rurales de Colombia. 	Una convivencia armónica basada en el respeto por todas las formas de vida y la protección de los más vulnerables	La creación de una policía especial que se encargue únicamente de vigilar que los pájaros no sean molestados.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	23	C	23	33.82	0.205	A	36.76	C	33.82	D	17.65	B	11.76		6	23	C Ciudadanas	La relación que establece el texto entre el trato a los animales y el futuro de la sociedad se basa en la premisa de que:	Los animales eventualmente aprenderán a comportarse como humanos si los tratamos con suficiente cariño y educación.	La empatía desarrollada hacia los animales se traduce en una mayor capacidad para respetar los derechos humanos. 	Solo las personas que tienen mascotas en su casa son capaces de ser ciudadanos honestos y cumplir con la ley. 	El Estado colombiano tendrá menos gastos en salud si todas las personas deciden adoptar un animal de la calle.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	24	A	42	61.76	0.123	A	61.76	D	25	B	10.29	C	1.47		6	24	C Ciudadanas	A partir de la lectura, se puede concluir que el papel de los niños de grado sexto frente a la Ley Ángel es: 	Actuar como jueces y policías para castigar físicamente a quienes no cumplan con la normativa ambiental. 	Memorizar cada artículo de la ley para poder ganar los exámenes de ciencias sociales y religión.	Convertirse en agentes de cambio que practican la empatía y promueven una cultura de cuidado en su entorno. 	Exigir a sus padres que compren animales exóticos para demostrar que tienen poder sobre la naturaleza.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	25	A	49	72.06	0.347	A	72.06	C	11.76	B	8.82	D	5.88		6	25	C Ciudadanas	El uso del nombre "Ángel" para referirse a la ley y al perrito del caso busca generar en el lector un efecto de: 	Distanciamiento, para que el lector entienda que es un caso técnico que solo le compete a los abogados.	Indiferencia, al mostrar que los animales tienen nombres comunes que no afectan la realidad nacional. 	Sensibilización, conectando una tragedia individual con una necesidad de protección colectiva y esperanza.	Confusión, ya que el nombre de un animal no debería usarse para titular una norma jurídica oficial.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	26	C	14	20.59	0.108	B	38.24	A	23.53	C	20.59	D	17.65		6	26	C Ciudadanas	En el primer párrafo, el autor utiliza la metáfora de un "palacio" y una "biblioteca de vida" para referirse a Colombia con el fin de: 	Indicar que nuestro país es muy rico en oro, esmeraldas y tesoros escondidos en museos. 	Resaltar que la biodiversidad es un patrimonio valioso que contiene información y vida esencial. 	Sugerir que los niños deben estudiar más libros de ciencias naturales para salvar el planeta. 	Explicar que la naturaleza colombiana es artificial y debe ser guardada bajo llave para que no se dañe. 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	27	B	49	72.06	0.583	B	72.06	D	10.29	C	8.82	A	5.88		6	27	C Ciudadanas	Según el texto, la relación entre el frailejón y el ser humano es de interdependencia porque: 	El ser humano debe regar los frailejones todos los días para que estos produzcan flores. 	El frailejón es una planta decorativa que solo sirve para que el paisaje de los páramos se vea bien. 	La protección del frailejón garantiza servicios vitales como el agua, que es necesaria para la supervivencia humana. 	Los seres humanos pueden vivir sin agua siempre y cuando existan otras plantas en la selva. 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	28	D	33	48.53	0.316	D	48.53	C	22.06	B	19.12	A	10.29		6	28	C Ciudadanas	Cuando el autor afirma que "el asombro es la semilla del respeto", está sugiriendo que: 	Los niños deben comprar semillas de árboles extraños para poder respetar la naturaleza. 	La educación ambiental solo funciona si los estudiantes sienten miedo por las multas legales. 	La valoración emocional y la admiración por la vida son el primer paso para protegerla seriamente. 	Solo las personas que se sorprenden mucho pueden ser elegidas como guardianes ambientales. 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	29	D	45	66.18	0.37	D	66.18	B	13.24	C	10.29	A	8.82		6	29	C Ciudadanas	Una conclusión que se puede extraer del texto sobre la "paz verdadera" en Colombia es que esta: 	Se logra únicamente cuando los grupos armados entregan todas sus armas y dejan de pelear. 	Es un concepto que no tiene nada que ver con los animales o las plantas, sino solo con los humanos. 	Debe incluir el respeto por todos los seres vivos y el equilibrio con el medio ambiente. 	Es imposible de alcanzar mientras existan jaguares o animales peligrosos en las selvas. 
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	30	D	37	54.41	0.459	D	54.41	A	23.53	B	13.24	C	8.82		6	30	C Ciudadanas	El autor dirige su mensaje especialmente a los niños de grado sexto porque considera que ellos: 	Son los únicos responsables de los desastres ambientales que han ocurrido en el pasado. 	Tienen la capacidad de cambiar el futuro del país mediante una nueva ética de cuidado y empatía. 	No tienen otras preocupaciones y por eso pueden dedicarse todo el tiempo a sembrar árboles. 	Deben convencer a los adultos de que dejen de trabajar para dedicarse solo a observar animales.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	31	C	45	66.18	0.49	C	66.18	D	16.18	A	10.29	B	7.35		6	31	C Ciudadanas	¿Cuál es la decisión de Pablo que mejor demuestra una identidad basada en principios éticos?	Mantener el silencio absoluto, porque la lealtad a los amigos es el valor más importante sin importar las consecuencias para otros.	Hablar con sus amigos para que todos asuman la responsabilidad juntos, priorizando la justicia sobre el miedo al castigo.	Dejar que suspendan al otro estudiante, pensando que "así es la vida" y que cada uno debe aprender a defenderse solo.	Decirle al rector quién fue el culpable de forma anónima, para que sus amigos no se enojen con él y el otro niño no sea castigado.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	32	D	44	64.71	0.633	D	64.71	C	14.71	B	11.76	A	8.82		6	32	C Ciudadanas	Al identificar esta "área de mejora", ¿qué transformación está ocurriendo en la identidad de Pedro?	Está comprendiendo que sus capacidades intelectuales no lo eximen de la responsabilidad de tratar a los demás con respeto.	Está perdiendo su personalidad fuerte para darle gusto a los demás y evitar problemas con los profesores.	Está aceptando que es una mala persona y que debe cambiar su identidad por completo para ser aceptado.	Está demostrando que la convivencia social es más importante que el rendimiento académico en todos los casos.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	33	B	35	51.47	0.311	B	51.47	D	20.59	A	14.71	C	13.24		6	33	C Ciudadanas	¿Qué análisis debe hacer el representante para fortalecer la convivencia social en este caso?	Seguir la opinión de la mayoría sin discutir, porque en democracia lo que la masa diga es lo único que importa.	Repartir el dinero en partes iguales para todos los estudiantes, para que nadie se sienta discriminado ni triste.	Proponer un punto medio donde se atienda la necesidad urgente del compañero, reconociendo que la solidaridad fortalece el tejido del grupo.	Guardar el dinero y no usarlo, para evitar que el grupo se divida por opiniones diferentes.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	34	C	36	52.94	0.3	C	52.94	A	23.53	B	13.24	D	10.29		6	34	C Ciudadanas	¿Qué acción refleja una identidad personal sólida y autónoma en esta situación virtual?	Salirse del grupo sin decir nada, para no tener que ver el contenido, pero tampoco enfrentar a sus amigos.	Reírse también para encajar en el grupo, pensando que un mensaje digital no define quién es ella en la vida real.	Expresar con respeto que no está de acuerdo con la burla, manteniendo su principio de respeto por encima de la aprobación social.	Borrar el mensaje de su propio celular y fingir que nunca lo vio para no entrar en conflicto con nadie.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	35	A	44	64.71	0.516	A	64.71	D	13.24	B	11.76	C	8.82		6	35	C Ciudadanas	Ante la presión de sus amigos, ¿cuál de las siguientes acciones de Juan refleja mejor la comprensión de su cuerpo como una realidad sagrada?	Acceder a consumir solo una pequeña dosis para no quedar mal con sus amigos y mantener la armonía del grupo.	Rechazar la propuesta de manera asertiva, entendiendo que su integridad física y mental es la base para relacionarse sanamente con los demás. 	Aceptar la sustancia, pero investigar después en internet cuáles son los efectos secundarios para estar prevenido la próxima vez.	Ignorar a sus amigos y retirarse de la fiesta sin dar explicaciones, para evitar entrar en un conflicto innecesario con ellos.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	36	D	12	17.65	0.127	A	41.18	B	29.41	D	17.65	C	11.76		6	36	C Ciudadanas	¿Qué argumento debería utilizar Carolina para defender su posición de forma asertiva?	Que la privacidad solo es necesaria cuando se tienen comportamientos indebidos, por lo que ellos no deberían sospechar.	Que al ser casi adulta, las leyes le otorgan el derecho de actuar con total independencia sin dar explicaciones a su familia.	Que sus padres están violando el código penal y que ella podría iniciar un proceso legal si continúan con esa conducta.	Que el respeto a la integridad personal y a la privacidad es fundamental para construir una relación de confianza y sana convivencia.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	37	C	37	54.41	0.356	C	54.41	B	26.47	A	13.24	D	5.88		6	37	C Ciudadanas	Ante esta situación, ¿cuál es la postura más coherente con el reconocimiento del valor intrínseco de la persona?	Ignorar por completo sus emociones y seguir actuando como si los comentarios no tuvieran ningún impacto en su vida diaria.	Criticar el aspecto físico de quienes la atacan para nivelar la situación y proteger su posición frente al grupo.	Reconocer su propia dignidad y autonomía, entendiendo que su valor como persona es independiente de su apariencia física o de la aprobación de los demás.	Adoptar las tendencias de moda y belleza para demostrar que tiene la capacidad de adaptarse a lo que la sociedad exige.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	38	A	19	27.94	0.212	B	32.35	A	27.94	C	23.53	D	16.18		6	38	C Ciudadanas	¿Por qué este argumento es problemático desde la perspectiva de los límites personales?	Porque el amor de pareja siempre debe estar por encima de los intereses individuales para que la relación funcione.	Porque el afecto no justifica la anulación de la autonomía ni el irrespeto por los límites que cada persona establece sobre su propio cuerpo.	Porque las barreras en el noviazgo solo deben ponerse si existen antecedentes de falta de respeto previos.	Porque el compromiso emocional implica que ambos cuerpos pasan a ser una responsabilidad compartida sin restricciones.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	39	B	44	64.71	0.539	B	64.71	C	19.12	D	10.29	A	5.88		6	39	C Ciudadanas	¿Cómo deberían actuar las amigas de Lucía para demostrar respeto por la diferencia?	Obligar a Lucía a estar feliz todo el tiempo para que el grupo pueda seguir divirtiéndose como antes. 	Buscar nuevas amigas que no tengan cambios de humor para no afectar la alegría del grupo.	Decirle a Lucía que vuelva al grupo solo cuando aprenda a controlar sus emociones y deje de estar triste.	Ser pacientes y comprensivas, entendiendo que las emociones cambian en esta etapa y ofreciéndole su apoyo.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	40	B	51	75	0.397	B	75	A	10.29	D	8.82	C	5.88		6	40	C Ciudadanas	Ante esta situación, ¿cuál es la respuesta que mejor demuestra que Camilo reconoce su propio valor personal?	Pedirle a sus padres que hagan un sacrificio económico para comprar los tenis y así no quedarse solo en el recreo.	Sentirse triste y pensar que, como no tiene cosas de marca, él vale menos que los demás niños del grupo.	Entender que su valor como persona depende de su forma de ser y sus valores, no de los objetos que tiene o de lo que piensen los demás.	Buscar a otros compañeros que tampoco tengan esos tenis para organizar un grupo que ataque y se burle de los del "club".
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	41	B	35	51.47	0.534	B	51.47	D	27.94	A	17.65	C	2.94		7	21	C Ciudadanas	 ¿Cuál es la idea principal del texto?	La Ley Ángel solo busca castigar a los agresores	La Ley Ángel combina sanción legal y transformación cultural	La Ley Ángel reemplaza todas las leyes anteriores	La Ley Ángel se enfoca únicamente en animales domésticos.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	42	C	55	80.88	0.294	C	80.88	A	13.24	D	4.41	B	1.47		7	22	C Ciudadanas	Cuando el texto afirma que los animales son “seres sintientes”, se refiere a que:	Pueden hablar con los humanos	Tienen derechos políticos	Son capaces de sentir dolor y emociones	Son propiedad del Estado.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	43	C	49	72.06	0.297	C	72.06	B	14.71	A	10.29		1.47		7	23	C Ciudadanas	¿Qué relación establece el texto entre la Ley Ángel y la construcción de paz?	Ninguna relación directa	Una relación basada únicamente en castigos	Una relación basada en valores como empatía y no violencia	Una relación económica.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	44	D	55	80.88	0.484	D	80.88	B	10.29	A	4.41	C	2.94		7	24	C Ciudadanas	Según el texto, ¿cuál es un riesgo si la ley no se implementa correctamente?	Que aumenten las adopciones	Que la ley pierda vigencia internacional	Que la norma quede solo en el papel	Que desaparezcan los animales.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	45	D	55	80.88	0.237	D	80.88	C	8.82	A	5.88	B	4.41		7	25	C Ciudadanas	¿Cuál de las siguientes opciones representa mejor una conclusión crítica del texto?	Las leyes son suficientes por sí solas	El castigo es la única solución al maltrato	La efectividad de la ley depende del compromiso social e institucional	Los animales no requieren protección legal.
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	46	C	38	55.88	0.476	C	55.88	D	19.12	B	17.65	A	7.35		7	26	C Ciudadanas	 ¿Cuál es la idea principal del texto?	La pólvora es necesaria para las celebraciones	La pólvora tiene efectos negativos en la salud, los animales y el ambiente	Los animales no se ven afectados por el ruido	La pólvora solo afecta a los adultos
6	EVALUÁNDONOS 6 FINAL 2025	6-01, 6-02, 6-03, 6PJ	Primary Key 	47	C	43	63.24	0.357	C	63.24	B	14.71	A	14.71	D	7.35		7	27	C Ciudadanas	Cuando el texto menciona que los efectos duran “mucho más tiempo”, se refiere a que:	 La pólvora nunca desaparece	 Las celebraciones son muy largas	Las consecuencias ambientales y en la salud pueden continuar después del uso	Los animales olvidan rápidamente el ruido.
